id;date;time;trigger;fatalities;injuries;location_description;location_accuracy;landslide_size;population;countrycode;geolocation
7130;19.04.2015;;Unknown;0;0;Above_road;Known_within_1km;Medium;2633;US;(40.154800000000002, -79.738900000000001)
7132;17.04.2015;;Downpour;0;0;Above_road;Known_within_5km;Small;5439;US;(39.463099999999997, -79.009)
7136;17.04.2015;;Unknown;0;0;Below_road;Known_within_1km;Small;1746;US;(40.545299999999997, -79.808999999999997)
7146;14.04.2015;;Downpour;0;0;Above_road;Known_within_10km;Small;5245;US;(36.687800000000003, -84.244399999999999)
7144;14.04.2015;afternoon;Downpour;0;0;Natural_slope;Known_within_1km;Small;3255;US;(37.576099999999997, -82.759200000000007)
7151;11.04.2015;08:30;Continuous_rain;0;0;Above_road;Known_within_1km;Small;1860;US;(39.439599999999999, -81.149500000000003)
7154;10.04.2015;;Continuous_rain;0;0;Above_road;Known_within_15km;Small;13175;US;(38.4803, -81.924599999999998)
7152;10.04.2015;;Continuous_rain;0;0;Natural_slope;Known_within_5km;Medium;1526;US;(39.958199999999998, -80.794200000000004)
7153;10.04.2015;;Continuous_rain;0;0;Above_road;Known_within_5km;Small;1482;US;(40.227800000000002, -80.653400000000005)
6914;21.03.2015;;Unknown;0;0;Natural_slope;Known_within_25km;Medium;4350;CO;(1.1656, -76.875500000000002)
6918;20.03.2015;;Unknown;0;0;Below_road;Known_within_1km;Small;12943;US;(36.180700000000002, -93.203000000000003)
6893;18.03.2015;night;Continuous_rain;0;0;Above_road;Known_within_15km;Small;13035;EC;(-4.3312999999999997, -79.781099999999995)
6888;18.03.2015;morning;Unknown;0;0;Below_road;Known_within_10km;Small;3924;US;(40.411499999999997, -80.784400000000005)
6900;18.03.2015;;Continuous_rain;0;0;Unknown;Known_within_25km;Medium;117796;EC;(-4.0094000000000003, -79.207300000000004)
6901;18.03.2015;;Continuous_rain;0;0;Above_road;Known_within_25km;Medium;18565;EC;(-4.1379999999999999, -79.406899999999993)
6902;18.03.2015;;Continuous_rain;0;0;Above_road;Known_within_50km;Medium;276964;EC;(-2.8660000000000001, -79.089200000000005)
7492;18.03.2015;;Downpour;0;0;Urban_area;Known_within_10km;Medium;26594;CR;(9.8815000000000008, -83.940100000000001)
6920;14.03.2015;;Flooding;0;0;Below_road;Known_within_1km;Small;2620;US;(39.153700000000001, -84.236099999999993)
6859;12.03.2015;11:50;Rain;0;0;Mine_construction;Exact_Location;Medium;51400;US;(38.368600000000001, -81.602599999999995)
6853;09.03.2015;afternoon;Rain;0;0;Below_road;Known_within_1km;Medium;2672;US;(37.477400000000003, -86.922499999999999)
6838;05.03.2015;afternoon;Rain;0;0;Natural_slope;Known_within_50km;Small;3286;US;(36.997199999999999, -82.555999999999997)
6828;03.03.2015;;Downpour;0;0;Above_road;Unknown;Medium;0;PE;(-5.7134999999999998, -77.608099999999993)
6791;21.02.2015;;Snowfall_snowmelt;0;0;Above_road;Known_within_5km;Small;3884;US;(37.811599999999999, -79.798900000000003)
6787;21.02.2015;;Unknown;0;0;Above_road;Known_within_25km;Small;8987;US;(40.764299999999999, -80.231499999999997)
7502;10.02.2015;;Rain;0;0;Above_road;Known_within_50km;Medium;0;PA;(8.5121000000000002, -82.051299999999998)
6735;28.01.2015;23:00;Continuous_rain;0;0;Below_road;Exact_Location;Small;34877;CR;(9.7962000000000007, -83.949799999999996)
3720;03.07.2011;;Downpour;0;;;Known_within_10_km;Large;1509;US;(39.092799999999997, -84.185699999999997)
3721;03.07.2011;;Downpour;0;;;Known_within_10_km;Large;15273;US;(39.103099999999998, -84.512)
3722;03.07.2011;;Rain;0;;;Unknown;Medium;0;VE;(10.3606, -67.309700000000007)
3410;25.04.2011;;Downpour;0;;;Known_within_1_km;Small;4407;US;(39.097799999999999, -84.560400000000001)
4014;15.10.2011;;Downpour;5;;;Known_within_1_km;Medium;16225;CO;(5.92, -76.2363)
4009;12.10.2011;;Downpour;2;;;Known_within_1_km;Medium;16520;MX;(19.237200000000001, -104.5656)
4108;25.12.2011;;Downpour;0;;;Known_within_1_km;Large;15067;TT;(10.790100000000001, -61.298400000000001)
3985;25.09.2011;;Downpour;0;;;Known_within_25_km;Medium;34877;CR;(9.2509999999999994, -83.859099999999998)
4091;13.12.2011;;Downpour;1;;;Known_within_10_km;Medium;8751;CO;(1.6055999999999999, -76.974199999999996)
4104;23.12.2011;;Downpour;0;;;Known_within_5_km;Medium;179583;CO;(4.8349000000000002, -75.662099999999995)
3981;20.09.2011;15:00;Rain;15;;;Known_within_5_km;Large;14100;GT;(15.807600000000001, -91.314800000000005)
4121;30.12.2011;;Downpour;3;1;Unknown;Known_within_25km;Medium;163007;CO;(5.5138999999999996, -75.013800000000003)
4106;23.12.2011;;Downpour;0;;;Known_within_1_km;Small;5338;US;(39.125100000000003, -84.467399999999998)
4105;23.12.2011;00:00:00;Downpour;0;;;Exact_location;Small;2449;US;(40.517200000000003, -80.094099999999997)
4097;16.12.2011;;Downpour;9;;;Known_within_5_km;Large;9327;CO;(5.2504999999999997, -75.500100000000003)
4096;16.12.2011;;Downpour;1;;;Known_within_1_km;Large;431781;CO;(11.2475, -74.201700000000002)
4095;15.12.2011;;Downpour;9;;;Known_within_1_km;Large;2394;CO;(1.5069999999999999, -77.222300000000004)
4094;15.12.2011;;Downpour;5;;;Known_within_1_km;Large;5976;CO;(5.4958, -75.014399999999995)
3967;08.09.2011;;Rain;0;;;Known_within_1_km;Medium;15311;US;(40.638300000000001, -74.500699999999995)
4087;06.12.2011;;Downpour;2;;;Known_within_15_km;Very_large;3000000;VE;(10.491899999999999, -66.902199999999993)
4057;22.11.2011;;Rain;0;;;Known_within_1_km;Medium;5012;US;(40.523800000000001, -75.779600000000002)
3993;27.09.2011;;Downpour;6;;;Known_within_15_km;Medium;1999979;CO;(6.2432999999999996, -75.576700000000002)
4072;30.11.2011;04:30:00;Downpour;0;;;Known_within_25_km;Medium;14770;US;(34.678100000000001, -86.034300000000002)
4071;29.11.2011;;Downpour;3;;;Known_within_5_km;Medium;54421;CO;(4.6779999999999999, -74.138000000000005)
3825;21.07.2011;;Rain;0;;;Known_within_15_km;Medium;2768;US;(29.387899999999998, -82.485399999999998)
4064;24.11.2011;;Downpour;0;;;Known_within_25_km;Medium;9309;CO;(4.4375999999999998, -75.497600000000006)
4037;04.11.2011;Night;Downpour;48;;;Known_within_10_km;Very_large;357814;CO;(5.0742000000000003, -75.5197)
4036;04.11.2011;Night;Downpour;4;;;Known_within_5_km;Large;62170;CO;(4.5373999999999999, -75.650199999999998)
4032;31.10.2011;06:00:00;Downpour;0;;;Known_within_1_km;Medium;8140;TT;(10.7539, -61.4407)
3826;21.07.2011;Morning;Downpour;0;;;Known_within_1_km;Medium;4456;US;(37.210099999999997, -83.113699999999994)
4031;31.10.2011;;Downpour;0;;Natural_slope;Known_within_1km;Medium;6784;CR;(9.9792000000000005, -83.852500000000006)
4029;25.10.2011;09:30:00;Downpour;0;;;Known_within_5_km;Medium;157258;TT;(10.6487, -61.495399999999997)
4008;10.10.2011;;Downpour;32;;;Unknown;Very_large;112158;SV;(13.7874, -89.16)
4006;08.10.2011;05:00:00;Rain;0;0;;Known_within_10_km;Large;28857;US;(37.653599999999997, -112.9821)
4005;07.10.2011;Morning;Downpour;3;;;Known_within_25_km;Large;240387;CO;(3.8580999999999999, -76.850099999999998)
3988;26.09.2011;;Downpour;2;;;Known_within_5_km;Medium;850848;HN;(14.086499999999999, -87.217200000000005)
3957;01.09.2011;06:45:00;Rain;0;;;Known_within_1_km;Small;902;BM;(32.281500000000001, -64.778499999999994)
3926;15.08.2011;;Downpour;0;;;Known_within_1_km;Small;4933;US;(41.183799999999998, -74.518699999999995)
3911;11.08.2011;;Rain;0;;;Known_within_1_km;Small;2541;US;(40.497999999999998, -80.302000000000007)
3883;05.08.2011;;Downpour;0;;;Known_within_50_km;Small;3944;US;(35.710799999999999, -83.499799999999993)
3811;19.07.2011;19:00:00;Downpour;0;;;Known_within_5_km;Small;441;US;(37.774999999999999, -83.677199999999999)
3833;22.07.2011;;Tropical_Cyclone;0;;;Known_within_50_km;Medium;127235;MX;(19.244399999999999, -103.7244)
3832;22.07.2011;;Tropical_Cyclone;0;;;Unknown;Medium;1005;MX;(16.151399999999999, -92.770399999999995)
3836;22.07.2011;;Tropical_Cyclone;0;;;Unknown;Medium;6361;MX;(21.759499999999999, -104.8334)
3799;18.07.2011;Night;Rain;0;;;Known_within_10_km;Small;1320;US;(37.947800000000001, -107.8548)
3639;22.06.2011;;Tropical_Cyclone;0;;;Unknown;Medium;4463;MX;(21.981400000000001, -104.8381)
3743;07.07.2011;;Rain;0;;;Known_within_5_km;Small;3887;US;(39.631, -106.0433)
3563;02.06.2011;;Downpour;0;;;Known_within_1_km;Small;137966;HT;(18.2348, -72.5364)
3576;07.06.2011;;Downpour;13;;;Known_within_5_km;Large;283052;HT;(18.513500000000001, -72.285300000000007)
3762;12.07.2011;;Downpour;0;;;Known_within_10_km;Medium;4185;CR;(10.8916, -85.014099999999999)
3761;11.07.2011;;Downpour;0;;;Known_within_10_km;Large;43888;US;(31.473299999999998, -110.3475)
3755;09.07.2011;;Rain;0;;;Known_within_5_km;Medium;17444;US;(44.797199999999997, -106.9562)
3744;07.07.2011;;Rain;0;;;Known_within_10_km;Medium;17444;US;(44.744799999999998, -106.92489999999999)
3736;06.07.2011;;Downpour;1;;;Known_within_10_km;Medium;2201941;DO;(18.5, -69.9833)
3733;05.07.2011;02:30:00;Downpour;0;;;Known_within_5_km;Medium;15523;US;(40.453800000000001, -111.6621)
3728;04.07.2011;19:30:00;Rain;0;;;Known_within_1_km;Small;3165;US;(40.424799999999998, -79.936899999999994)
