Stop;Longitude;Latitude;Ort
936;9,13818;49,04806;
937;9,1375;49,04877;
938;9,13739;49,04886;
939;9,13661;49,04966;
940;9,13634;49,04987;
941;9,13619;49,04994;
942;9,13595;49,05009;
943;9,13585;49,05017;
944;9,1359;49,0502;
945;9,13593;49,05023;
946;9,13594;49,05025;
947;9,13594;49,05029;
948;9,13593;49,05033;
949;9,13585;49,0504;
950;9,13577;49,05043;
951;9,13561;49,05042;
952;9,13555;49,05047;
953;9,13553;49,0505;
954;9,13548;49,05053;
955;9,13545;49,05056;
956;9,13407;49,05124;
957;9,12992;49,0528;
958;9,12675;49,05432;
959;9,12549;49,05481;
960;9,12406;49,05528;
961;9,12356;49,05541;
962;9,12309;49,05548;
963;9,12086;49,05562;
964;9,11973;49,05576;
965;9,11876;49,05601;
966;9,11806;49,05628;
967;9,11713;49,05679;
968;9,11461;49,05848;
969;9,11346;49,05905;
970;9,11255;49,0594;
971;9,1116;49,05967;
972;9,10871;49,0603;
973;9,10811;49,06048;
974;9,10757;49,06071;
975;9,1057;49,06173;
976;9,10519;49,06196;
977;9,10473;49,06211;
978;9,10436;49,0622;
979;9,10125;49,06259;
980;9,10089;49,06266;
981;9,10073;49,06272;
982;9,09998;49,06286;
983;9,09982;49,06293;
984;9,09963;49,0628;
985;9,09947;49,06272;
986;9,09925;49,06264;
987;9,09901;49,06259;
988;9,09868;49,06256;
989;9,0983;49,06259;
990;9,09701;49,06284;
991;9,09523;49,06335;
992;9,09211;49,06445;
993;9,09157;49,06459;
994;9,09037;49,06482;
995;9,09005;49,06486;
996;9,09003;49,065;
997;9,08985;49,06554;
998;9,08976;49,0657;
999;9,08919;49,06634;
1000;9,08898;49,06662;
1001;9,08807;49,06643;
1002;9,08784;49,06768;
1003;9,08778;49,06788;
1004;9,08775;49,06794;
1005;9,08767;49,06802;
1006;9,08761;49,06805;
1007;9,08749;49,06808;
1008;9,08529;49,06804;
1009;9,08475;49,06808;
1010;9,08423;49,06817;
1011;9,08389;49,06829;
1012;9,08389;49,06831;
1013;9,08388;49,06832;
1014;9,08388;49,06834;
1015;9,08387;49,06835;
1016;9,08387;49,06836;
1017;9,08386;49,06836;
1018;9,08382;49,0684;
1019;9,08372;49,06843;
1020;9,0837;49,06843;
1021;9,08369;49,06844;
1022;9,08364;49,06844;
1023;9,08363;49,06843;
1024;9,08359;49,06843;
1025;9,08358;49,06842;
1026;9,08356;49,06842;
1027;9,08355;49,06841;
1028;9,08354;49,06841;
1029;9,08353;49,0684;
1030;9,08352;49,0684;
1031;9,0835;49,06838;
1032;9,08314;49,06845;
1033;9,083;49,06846;
1034;9,08164;49,06885;
1035;9,08091;49,0691;
1036;9,08036;49,06933;
1037;9,07823;49,0705;
1038;9,07715;49,07096;
1039;9,0726;49,07224;
1040;9,07114;49,0728;
1041;9,07055;49,0731;
1042;9,06962;49,07365;
1043;9,06849;49,0745;
1044;9,06813;49,07483;
1045;9,06815;49,07483;
1046;9,06815;49,07484;
1047;9,06816;49,07484;
1048;9,06816;49,07485;
1049;9,06817;49,07485;
1050;9,06817;49,07486;
1051;9,06818;49,07487;
1052;9,06818;49,0749;
1053;9,06817;49,07491;
1054;9,06817;49,07492;
1055;9,06816;49,07492;
1056;9,06816;49,07493;
1057;9,06815;49,07493;
1058;9,06814;49,07494;
1059;9,06813;49,07494;
1060;9,06812;49,07495;
1061;9,06803;49,07495;
1062;9,06803;49,07494;
1063;9,06802;49,07494;
1064;9,06757;49,07534;
1065;9,06693;49,07601;
1066;9,06672;49,07617;
